# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov  5 13:31:29 2024
#
# User preference: *
#
# CONSTRAINT:  order by plntname asc
#
# COLUMN plntname:       Planet Name
# COLUMN centralwavelng: Central Wavelength [microns]
# COLUMN bandwidth:      Band Width [microns]
# COLUMN plntransdep:    Transit Depth [percentage]
# COLUMN plntransdeperr1: Transit Depth Upper Unc. [percentage]
# COLUMN plntransdeperr2: Transit Depth Lower Unc. [percentage]
# COLUMN plntransdeplim: Transit Depth Limit Flag
# COLUMN plnradj:        Planet Radius [Jupiter radii]
# COLUMN plnradjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN plnradjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN plnradjlim:     Planet Radius Limit Flag
# COLUMN plnratror:      Ratio of Planet to Stellar Radius
# COLUMN plnratrorerr1:  Ratio of Planet to Stellar Radius Upper Unc.
# COLUMN plnratrorerr2:  Ratio of Planet to Stellar Radius Lower Unc.
# COLUMN plnratrorlim:   Ratio of Planet to Stellar Radius Limit Flag
# COLUMN plntranmid:     Transit Mid-Point [BJD]
# COLUMN plntranmiderr1: Transit Mid-Point Upper Unc. [BJD]
# COLUMN plntranmiderr2: Transit Mid-Point Lower Unc. [BJD]
# COLUMN plntranmidlim:  Transit Mid-Point Limit Flag
# COLUMN plntranreflink: Reference
# COLUMN facility:       Facility
# COLUMN instrument:     Instrument
#
plntname,centralwavelng,bandwidth,plntransdep,plntransdeperr1,plntransdeperr2,plntransdeplim,plnradj,plnradjerr1,plnradjerr2,plnradjlim,plnratror,plnratrorerr1,plnratrorerr2,plnratrorlim,plntranmid,plntranmiderr1,plntranmiderr2,plntranmidlim,plntranreflink,facility,instrument
CoRoT-1 b,1.4340,0.1755,,,,,,,,,0.14740,0.00160,-0.00160,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.6100,0.1755,,,,,,,,,0.14150,0.00100,-0.00100,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.7860,0.1755,,,,,,,,,0.14260,0.00260,-0.00260,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.9610,0.1755,,,,,,,,,0.14310,0.00290,-0.00290,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,2.1370,0.1755,,,,,,,,,0.14400,0.00220,-0.00220,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,2.3120,0.1755,,,,,,,,,0.14700,0.00200,-0.00200,0,,,,,<a refstr=SCHLAWIN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783....5S/abstract target=ref> Schlawin et al. 2014</a>,Infrared Telescope Facility,SpeX and MORIS
CoRoT-1 b,1.1440,0.0520,,,,,,,,,0.13800,0.00240,-0.00240,0,,,,,<a refstr=RANJAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..148R/abstract target=ref>Ranjan et al. 2014</a>,Hubble Space Telescope satellite,WFC3
CoRoT-1 b,1.1940,0.0480,,,,,,,,,0.14100,0.00290,-0.00270,0,,,,,<a refstr=RANJAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..148R/abstract target=ref>Ranjan et al. 2014</a>,Hubble Space Telescope satellite,WFC3
CoRoT-1 b,1.2410,0.0460,,,,,,,,,0.13840,0.00190,-0.00200,0,,,,,<a refstr=RANJAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..148R/abstract target=ref>Ranjan et al. 2014</a>,Hubble Space Telescope satellite,WFC3
CoRoT-1 b,1.2875,0.0470,,,,,,,,,0.14100,0.00230,-0.00230,0,,,,,<a refstr=RANJAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..148R/abstract target=ref>Ranjan et al. 2014</a>,Hubble Space Telescope satellite,WFC3
CoRoT-1 b,1.3340,0.0460,,,,,,,,,0.13890,0.00300,-0.00450,0,,,,,<a refstr=RANJAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..148R/abstract target=ref>Ranjan et al. 2014</a>,Hubble Space Telescope satellite,WFC3
CoRoT-1 b,1.3810,0.0480,,,,,,,,,0.14100,0.00240,-0.00240,0,,,,,<a refstr=RANJAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..148R/abstract target=ref>Ranjan et al. 2014</a>,Hubble Space Telescope satellite,WFC3
CoRoT-1 b,1.4300,0.0500,,,,,,,,,0.13960,0.00320,-0.00400,0,,,,,<a refstr=RANJAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..148R/abstract target=ref>Ranjan et al. 2014</a>,Hubble Space Telescope satellite,WFC3
CoRoT-1 b,1.4810,0.0520,,,,,,,,,0.13700,0.00290,-0.00360,0,,,,,<a refstr=RANJAN_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...785..148R/abstract target=ref>Ranjan et al. 2014</a>,Hubble Space Telescope satellite,WFC3
